Субъект;Число гостиниц, 2018;Число гостиниц, 2019;Число гостиниц, 2020;Число гостиниц, 2021;Число гостиниц, 2022;Число гостиниц, 2023;Число мест в гостиницах, 2018;Число мест в гостиницах, 2019;Число мест в гостиницах, 2020;Число мест в гостиницах, 2021;Число мест в гостиницах, 2022;Число мест в гостиницах, 2023;Число хостелов, 2018;Число хостелов, 2019;Число хостелов, 2020;Число хостелов, 2021;Число хостелов, 2022;Число хостелов, 2023;Число мест в хостелах, 2018;Число мест в хостелах, 2019;Число мест в хостелах, 2020;Число мест в хостелах, 2021;Число мест в хостелах, 2022;Число мест в хостелах, 2023;Число санаторно-курортных организаций, 2018;Число санаторно-курортных организаций, 2019;Число санаторно-курортных организаций, 2020;Число санаторно-курортных организаций, 2021;Число санаторно-курортных организаций, 2022;Число санаторно-курортных организаций, 2023;Число мест в санаторно-курортных организациях, 2018;Число мест в санаторно-курортных организациях, 2019;Число мест в санаторно-курортных организациях, 2020;Число мест в санаторно-курортных организациях, 2021;Число мест в санаторно-курортных организациях, 2022;Число мест в санаторно-курортных организациях, 2023
Орловская область;39;39;42;45;47;48;2394;2911;2919;2522;2580;2607;3;1;1;2;7;8;…1;…1;…1;…1;267;358;3;3;3;3;3;3;…1;…1;…1;…1;…1;…1
Рязанская область;84;81;93;93;115;113;4807;5278;5532;5797;7073;7320;7;8;8;7;10;10;352;467;493;310;375;389;12;12;12;13;11;12;2229;2181;2181;2361;2048;2134
Смоленская область;78;90;99;98;103;101;3243;3764;4127;4066;4721;4719;4;5;8;7;7;7;226;304;351;312;234;247;13;13;13;13;13;13;2431;2474;2474;2704;2771;2746
Тамбовская область;63;70;62;61;59;69;2223;2389;2222;2316;2624;3013;3;4;3;1;1;2;…1;158;…1;…1;…1;…1;7;7;7;7;7;8;1205;1199;1146;1146;1154;1331
Тверская область;108;124;133;132;156;154;7687;8302;9102;9389;10952;11600;10;16;17;17;17;26;491;1086;1171;1025;977;2053;16;16;16;16;16;15;3340;3345;3351;3361;3386;2969
Тульская область;100;105;105;110;120;130;5206;6872;5648;6032;6704;8606;9;9;7;10;10;11;341;432;355;510;583;660;21;23;24;21;21;22;3378;3538;3936;3206;3701;3994
Ярославская область;97;109;103;103;103;105;9423;10136;9968;10101;9852;10506;13;13;12;15;16;13;428;489;600;881;975;896;14;13;13;14;14;14;3496;3822;3834;3859;3856;3951
г. Москва;827;865;696;708;746;948;134705;138904;115207;117895;123807;136126;613;511;392;432;492;809;94749;81148;109973;142507;156855;224578;14;20;16;20;24;22;2183;2873;2811;3142;3807;3633
Республика Карелия;75;76;82;93;99;106;5333;5367;5510;5968;6268;6628;9;10;12;15;14;17;284;306;328;406;387;482;5;5;5;3;3;3;821;789;787;…1;…1;…1
Республика Коми;54;68;66;73;70;75;3362;3809;3543;3953;3628;3690;5;4;6;11;11;12;163;249;334;452;436;500;13;13;10;10;9;9;1237;1237;989;…1;…1;873
Архангельская область;87;101;96;114;117;123;6446;6916;6365;6999;7266;7072;6;11;11;15;17;18;195;420;606;672;648;658;11;12;9;12;10;9;1745;1961;1591;2550;2066;1571
Вологодская область;136;125;119;131;140;144;6235;5439;5028;5269;5984;6123;20;16;20;25;23;26;1398;1145;1470;1752;1396;1757;15;15;14;17;17;17;2522;2355;2328;3562;3560;3593
Калининградская область;146;141;147;163;170;202;9446;9481;10530;10683;11438;11801;25;24;25;32;44;43;1059;1552;1417;1707;3028;4079;15;14;14;16;17;19;3311;3205;3220;3420;3389;3448
